first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
8,26,28,35,38,39,Saturday,6,29,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.9189578116202306,-0.3943558551133187
8,22,27,32,35,38,Thursday,6,27,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.6889669190756865,-0.72479278722912
7,11,26,32,33,36,Tuesday,6,25,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.3473052528448203,-0.9377521321470804
1,4,7,14,17,35,Saturday,6,22,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.2506525322587213,-0.9680771188662041
13,19,23,27,32,37,Thursday,6,20,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.6121059825476627,-0.7907757369376986
19,24,28,32,35,36,Tuesday,6,18,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.8743466161445822,-0.4853019625310808
6,21,23,33,34,38,Saturday,6,15,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.994869323391895,0.10116832198743272
9,14,18,22,30,33,Thursday,6,13,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.8743466161445821,0.48530196253108104
4,19,20,28,30,39,Tuesday,6,11,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.6121059825476626,0.7907757369376989
7,21,22,27,30,33,Saturday,6,8,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,-0.05064916883871264,0.9987165071710528
5,10,13,19,22,25,Thursday,6,6,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,0.3473052528448203,0.9377521321470804
4,11,15,31,33,34,Tuesday,6,4,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,0.6889669190756866,0.72479278722912
9,14,22,27,28,34,Saturday,6,1,22,0.6234898018587369,0.7818314824680271,-1.0,1.2246467991473532e-16,0.9795299412524945,0.20129852008866006
4,8,13,30,31,32,Thursday,5,30,22,0.6234898018587369,0.7818314824680271,-0.8660254037844387,0.49999999999999994,0.9795299412524943,-0.20129852008866114
3,4,5,10,16,21,Tuesday,5,28,22,0.6234898018587369,0.7818314824680271,-0.8660254037844387,0.49999999999999994,0.8207634412072763,-0.5712682150947924
4,16,20,24,27,32,Saturday,5,25,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,0.3473052528448203,-0.9377521321470804
16,18,26,27,29,34,Thursday,5,23,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,-0.05064916883871355,-0.9987165071710528
