Date,first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2020-10-08,2,21,23,36,37,41,Thursday,10,8,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.05064916883871264,0.9987165071710528
2020-10-06,14,22,34,35,41,42,Tuesday,10,6,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,0.3473052528448203,0.9377521321470804
2020-10-03,19,22,31,36,39,42,Saturday,10,3,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.8207634412072763,0.5712682150947923
2020-10-01,5,14,16,22,23,33,Thursday,10,1,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.9795299412524945,0.20129852008866006
2020-09-29,2,3,24,31,33,36,Tuesday,9,29,40,-0.22252093395631578,-0.9749279121818233,-1.8369701987210297e-16,-1.0,0.9189578116202306,-0.3943558551133187
2020-09-26,6,13,17,22,23,39,Saturday,9,26,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.5289640103269624,-0.8486442574947509
2020-09-24,7,9,12,18,29,38,Thursday,9,24,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.15142777750457667,-0.9884683243281114
2020-09-22,5,9,10,16,35,40,Tuesday,9,22,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,-0.2506525322587213,-0.9680771188662041
2020-09-19,7,10,23,24,31,40,Saturday,9,19,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.7587581226927911,-0.651372482722222
2020-09-17,2,5,12,14,29,41,Thursday,9,17,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.9541392564000488,-0.2993631229733582
2020-09-15,10,18,22,25,27,28,Tuesday,9,15,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.994869323391895,0.10116832198743272
2020-09-12,7,19,21,29,32,39,Saturday,9,12,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.758758122692791,0.6513724827222223
2020-09-10,2,7,10,17,18,29,Thursday,9,10,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.4403941515576344,0.8978045395707416
2020-09-08,5,11,16,25,39,41,Tuesday,9,8,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.05064916883871264,0.9987165071710528
2020-09-05,9,18,25,32,35,42,Saturday,9,5,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.5289640103269624,0.8486442574947509
2020-09-03,3,6,10,11,19,33,Thursday,9,3,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.8207634412072763,0.5712682150947923
2020-09-01,15,21,24,29,34,36,Tuesday,9,1,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.9795299412524945,0.20129852008866006
2020-08-29,12,16,21,31,39,42,Saturday,8,29,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.9189578116202306,-0.3943558551133187
2020-08-27,3,5,14,19,20,23,Thursday,8,27,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.6889669190756865,-0.72479278722912
2020-08-25,15,17,25,37,38,39,Tuesday,8,25,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.3473052528448203,-0.9377521321470804
2020-08-22,2,11,12,15,21,40,Saturday,8,22,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.2506525322587213,-0.9680771188662041
2020-08-20,7,10,14,25,27,37,Thursday,8,20,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.6121059825476627,-0.7907757369376986
2020-08-18,3,4,11,28,33,38,Tuesday,8,18,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.8743466161445822,-0.4853019625310808
2020-08-15,4,6,18,24,38,39,Saturday,8,15,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.994869323391895,0.10116832198743272
2020-08-13,6,10,14,16,31,38,Thursday,8,13,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.8743466161445821,0.48530196253108104
2020-08-11,10,12,16,20,24,34,Tuesday,8,11,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.6121059825476626,0.7907757369376989
2020-08-08,6,7,22,27,32,40,Saturday,8,8,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,-0.05064916883871264,0.9987165071710528
2020-03-14,8,21,24,27,32,38,Saturday,3,14,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.9541392564000488,0.29936312297335804
2020-03-12,13,17,25,27,30,41,Thursday,3,12,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.758758122692791,0.6513724827222223
2020-03-10,10,21,28,32,33,36,Tuesday,3,10,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.4403941515576344,0.8978045395707416
2020-03-07,3,5,9,11,14,17,Saturday,3,7,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,0.1514277775045767,0.9884683243281114
2020-03-05,14,15,17,20,24,39,Thursday,3,5,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,0.5289640103269624,0.8486442574947509
2020-03-03,5,7,9,25,39,40,Tuesday,3,3,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,0.8207634412072763,0.5712682150947923
2020-02-29,8,10,23,24,39,42,Saturday,2,29,9,-0.2225209339563141,0.9749279121818237,0.5000000000000001,0.8660254037844386,0.9189578116202306,-0.3943558551133187
2020-02-27,5,7,16,29,32,34,Thursday,2,27,9,-0.2225209339563141,0.9749279121818237,0.5000000000000001,0.8660254037844386,0.6889669190756865,-0.72479278722912
2020-02-25,3,5,16,22,38,42,Tuesday,2,25,9,-0.2225209339563141,0.9749279121818237,0.5000000000000001,0.8660254037844386,0.3473052528448203,-0.9377521321470804
2020-02-22,4,5,16,37,38,39,Saturday,2,22,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,-0.2506525322587213,-0.9680771188662041
2020-02-20,5,8,17,23,37,41,Thursday,2,20,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,-0.6121059825476627,-0.7907757369376986
2020-02-18,5,6,10,14,18,32,Tuesday,2,18,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,-0.8743466161445822,-0.4853019625310808
2020-02-15,15,18,25,27,28,38,Saturday,2,15,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.994869323391895,0.10116832198743272
2020-02-13,8,11,15,27,36,41,Thursday,2,13,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.8743466161445821,0.48530196253108104
2020-02-11,3,11,15,22,23,40,Tuesday,2,11,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.6121059825476626,0.7907757369376989
2020-02-08,14,20,22,24,35,37,Saturday,2,8,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,-0.05064916883871264,0.9987165071710528
2020-02-06,5,9,19,25,30,35,Thursday,2,6,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,0.3473052528448203,0.9377521321470804
2020-02-04,3,8,20,24,25,31,Tuesday,2,4,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,0.6889669190756866,0.72479278722912
2020-02-01,5,9,10,17,18,29,Saturday,2,1,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.9795299412524945,0.20129852008866006
2020-01-30,16,30,31,37,38,40,Thursday,1,30,5,-0.2225209339563146,-0.9749279121818236,0.8660254037844387,0.49999999999999994,0.9795299412524943,-0.20129852008866114
2020-01-28,11,14,16,20,24,38,Tuesday,1,28,5,-0.2225209339563146,-0.9749279121818236,0.8660254037844387,0.49999999999999994,0.8207634412072763,-0.5712682150947924
